Product Name,Venue,Electronic,Open Outcry,Clearing,Exchange or
,,,,,Exchange Rules
,,,,,
Butter Spot Call ,Chicago Trading Floor ,  ,AA ,AA ,CME
Cash-Settled Butter Futures,"CME Globex, Chicago Trading Floor",CB,CB ,CB,CME
Cash-Settled Butter Options,"CME Globex, Chicago Trading Floor ",CB,CB ,CB ,CME
Cash-Settled Cheese Futures,CME Globex,CSC,,CSC ,CME
Cash-Settled Cheese Options ,"CME Globex, Chicago Trading Floor ",CSC ,CSC,CSC ,CME
Cheese Spot Call ,Chicago Trading Floor ,,Blocks = KB,KB,CME
Cheese Spot Call ,Chicago Trading Floor,,Barrels = RB ,KB,CME
Class III Milk Futures,"CME Globex, Chicago Trading Floor",DC,DA ,DA,CME
Class III Milk Options ,"CME Globex, Chicago Trading Floor ",DC ,DA ,DA,CME
Class IV Milk Futures,"CME Globex, Chicago Trading Floor ",GDK,DK ,DK,CME
Class IV Milk Options ,"CME Globex, Chicago Trading Floor",GDK ,DK,DK ,CME
Cleared OTC Dow Jones-UBS Commodity Index Swap ,CME ClearPort Clearing ,  ,  ,DGS ,CBOT
Cocoa Futures ,"CME Globex, New York Trading Floor ",CJ ,CJ ,CJ ,NYMEX
Coffee Futures ,"CME Globex, New York Trading Floor ",KT ,KT ,KT ,NYMEX
Corn Futures,"CME Globex, Chicago Trading Floor",ZC,C,C,CBOT
Corn Options ,"CME Globex, Chicago Trading Floor ",OZC ,CY/PY ,C ,CBOT
Corn Calendar Swaps ,CME ClearPort Clearing ,  ,  ,CCS ,CME
Soybean Calendar Swaps ,CME ClearPort Clearing ,  ,  ,SNS ,CME
Wheat Calendar Swaps ,CME ClearPort Clearing ,  ,  ,WCS ,CME
Crude Palm Oil ,CME Globex ,CPC ,  ,  ,CME
Distillers' Dried Grain ,CME Globex ,DDG ,  ,  ,CBOT
Dow Jones-UBS Commodity Index Futures ,CME Globex ,AW ,  ,  ,CBOT
Eastern Nebraska Basis Swap ,CME ClearPort Clearing ,  ,  ,ENE ,CME
Eastern South Dakota Basis Swap ,CME ClearPort Clearing ,  ,  ,ESC ,CME
Northeastern Iowa Basis Swap ,CME ClearPort Clearing ,  ,  ,NEC ,CME
Northwestern Iowa Basis Swap ,CME ClearPort Clearing ,  ,  ,NWI ,CME
Southern Iowa Basis Swap ,CME ClearPort Clearing ,  ,  ,SIC ,CME
Southern Minnesota ,CME ClearPort Clearing ,  ,  ,SMN ,CME
Cotton Futures ,"CME Globex, New York Trading Floor ",TT ,TT ,TT ,NYMEX
Dry Whey Futures,"CME Globex, Chicago Trading Floor ",DY,DY ,DY,CME
Dry Whey Options ,"CME Globex, Chicago Trading Floor",DY ,DY,DY ,CME
Feeder Cattle Futures,"CME Globex, Chicago Trading Floor",GF,FC,62,CME
Feeder Cattle Options ,"CME Globex, Chicago Trading Floor ",GF,KF/JF ,62,CME
Hardwood Pulp Futures,"CME Globex, Chicago Trading Floor",HWP ,HWP,HWP,CME
Hardwood Pulp Options ,"CME Globex, Chicago Trading Floor ",HWP ,HWP,HWP ,CME
International Skimmed Milk Powder Futures,CME Globex,ISM,,,CME
International Skimmed Milk Powder Options ,CME Globex ,ISM ,,,CME
Lean Hogs Futures,"CME Globex, Chicago Trading Floor ",HE,LH,LN,CME
Lean Hogs Options ,"CME Globex, Chicago Trading Floor",HE ,CH/PH ,LN ,CME
Live Cattle Futures,"CME Globex, Chicago Trading Floor ",LE,LC,48,CME
Live Cattle Options ,"CME Globex, Chicago Trading Floor",LE ,CK/PK ,48,CME
Mini-sized Corn Futures ,"CME Globex, Chicago Trading Floor ",XC ,YC ,YC ,CBOT
Mini-sized Soybean ,"CME Globex, Chicago Trading Floor ",XK ,YK ,YK ,CBOT
Mini-sized Wheat ,"CME Globex, Chicago Trading Floor ",XW ,YW ,YW ,CBOT
Nonfat Dry Milk Futures,"CME Globex, Chicago Trading Floor ",GNF,GNF ,NF ,CME
Nonfat Dry Milk Options ,"CME Globex, Chicago Trading Floor",GNF,NF ,NF,CME
Nonfat Dry Milk Spot Call ,Chicago Trading Floor ,  ,Grade Extra = NX,NF ,CME
,,,Grade A = NM ,,
Oat Futures,"CME Globex, Chicago Trading Floor ",ZO,O,O,CBOT
Oat Options ,"CME Globex, Chicago Trading Floor",OZO ,OO/OV ,O ,CBOT
Random Length Lumber Futures,"CME Globex, Chicago Trading Floor ",LBS ,LB,LB,CME
Random Length Lumber Options ,"CME Globex, Chicago Trading Floor",LBS ,KL/JL ,LB,CME
Rough Rice Futures,"CME Globex, Chicago Trading Floor ",ZR,RR,14,CBOT
Rough Rice Options ,"CME Globex, Chicago Trading Floor",OZR ,RRC/RRP ,14,CBOT
S&P GSCI Crude Oil ER Swap,CME ClearPort Clearing ,  ,GCO ,GCO ,NYMEX
S&P GSCI ER Gold Swap,"CME Globex, Chicago Trading Floor ",  ,GDI ,GDI ,NYMEX
S&P GSCI Excess Return Forward,"CME Globex, Chicago Trading Floor ",  ,ERF ,ERF ,NYMEX
S&P-GSCI ER Index 2 Month Forward Swaps,CME Clearport ,  ,  ,SE2 ,CME
S&P-GSCI ER Index 3 Month Forward Swaps,CME Clearport ,  ,  ,SE3 ,CME
S&P-GSCI Futures,"CME Globex, Chicago Trading Floor ",GD ,GI,GI,CME
S&P-GSCI Options ,"CME Globex, Chicago Trading Floor",GD ,GI,GI,CME
S&P-GSCI Excess Return Index Futures ,"CME Globex, Chicago Trading Floor ",GIE ,  ,GA ,CME
S&P-GSCI Excess Return Index Swap ,Cleared Only ,  ,  ,SES ,CME
Soybean Futures,"CME Globex, Chicago Trading Floor ",ZS,S,S,CBOT
Soybean Options ,"CME Globex, Chicago Trading Floor",OZS,CZ/PZ ,S,CBOT
Soybean Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,SNS ,SNS ,NYMEX
Soybean Crush Futures,Chicago Trading Floor ,,BCX,BCX ,CBOT
Soybean Crush Options ,Chicago Trading Floor,,BC/BP ,BCX ,CBOT
Soybean Meal Futures,"CME Globex, Chicago Trading Floor ",ZM,SM,6,CBOT
Soybean Meal Options ,"CME Globex, Chicago Trading Floor",OZM ,MY/MZ ,6,CBOT
Soybean Oil Futures,"CME Globex, Chicago Trading Floor ",ZL,BO,7,CBOT
Soybean Oil Options ,"CME Globex, Chicago Trading Floor",OZL ,OY/OZ ,7,CBOT
Sugar #11 Futures ,New York Trading Floor ,YO ,YO ,YO ,NYMEX
Wheat Futures,Chicago Trading Floor , ZW,W,W,CBOT
Wheat Options ,Chicago Trading Floor,OZW ,WY/WZ ,W,CBOT
Softwood Pulp Futures,Chicago Trading Floor ,,WP ,WP,CME
Softwood Pulp Options ,Chicago Trading Floor,,WP ,WP,CME
Weekly Corn Options ,"CME Globex, Chicago Trading Floor ",ZC1-5 ,PY1-5,WP ,CBOT
, ,,WP ,,CME
Weekly Soybean Options ,"CME Globex, Chicago Trading Floor ",ZS1-5 ,CZ1-5,WP ,CBOT
, ,,WP ,,CME
Weekly Wheat Options ,"CME Globex, Chicago Trading Floor ",ZW1-5 ,WZ1-5,WP ,CBOT
, ,,WP ,,CME
,,,,,
Economic Events,,,,,
Nonfarm Payroll Futures,"CME Globex, Chicago Trading Floor ",NFP,NFP,NFP ,CME
Nonfarm Payroll Options ,"CME Globex, Chicago Trading Floor",NFP,NFP,NFP ,CME
,,,,,
,,,,,
Energy,,,,,
1% Fuel Oil (Platts) Cargoes FOB NWE Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,FI ,FI ,NYMEX
1% Fuel Oil Rdam vs. 1% Fuel Oil NWE (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,33,33,NYMEX
1% Fuel Oil (Platts) Cargoes CIF MED Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,1W ,1W ,NYMEX
