PRODUCT_ID;PRODUCT_TYPE;PRODUCT_NAME;PRODUCT_GROUP;CURRENCY;PRODUCT_ISIN;UNDERLYING_ISIN;SHARE_ISIN;CONTRACT_SIZE;CONTRACT_MONTHS;MIN_PRICE_CHANGE;COUNTRY_CODE;GROUP_ID;CASH_MARKET_ID;SECTOR;STOXX® Europe 600;EURO STOXX 50®;STOXX Europe 50®;DAX®;SMI®;MDAX®;SDAX®;TecDAX®;SMIM®;STOXX® 200 Large;STOXX® 200 Mid;STOXX® 200 Small;DJ Global Titans 50 (SM);AEX Index®;CAC 40®;SP 500;RDXxt® USD - RDX Extended;FTSE® 100;ATX
5AB;OSTK;Asian Bamboo;Equity Options;EUR;DE000A0M6M79;DE000A0M6M79;;100;60;.01;DE;DE12;XETR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5ABF;FSTK;Asian Bamboo;Single Stock Futures;EUR;DE000A1KQUV5;DE000A0M6M79;;100;36;.0001;DE;DE01;XETR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7AA;OSTK;Aperam;Equity Options;EUR;LU0569974404;LU0569974404;;100;60;.01;NL;NL11;XAMS;Basic Resources;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
7AAF;FSTK;Aperam;Single Stock Futures;EUR;DE000A1KP1A1;LU0569974404;;100;36;.0001;NL;NL01;XAMS;Basic Resources;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
A1LV;FSTK;Allianz Dividend Futures [100];Single Stock Dividend Futures ;EUR;DE000A1CRDF9;XC000A1CRK55;DE0008404005;100;;.01;DE;DE21;XETR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1OM;FSTK;ALSTOM Dividend Futures [100];Single Stock Dividend Futures ;EUR;DE000A1CRD80;XC000A1DKC77;FR0010220475;100;;.01;FR;FR21;XPAR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1XA;FSTK;AXA Dividend Futures [100];Single Stock Dividend Futures ;EUR;DE000A1CRDG7;XC000A1CRK63;FR0000120628;100;;.01;FR;FR21;XPAR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2AL;FSTK;Anglo American Dividend Futures;Single Stock Dividend Futures ;USD;DE000A1KD0H2;XC000A1KD0W9;GB00B1XZS820;1000;;.001;GB;GB22;XLON;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2BB;FSTK;ABB Dividend Futures;Single Stock Dividend Futures ;CHF;DE000A1HTZH3;XC000A1HTZT0;CH0012221716;1000;;.001;CH;CH21;XVTX;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2EN;FSTK;AEGON Dividend Futures;Single Stock Dividend Futures ;EUR;DE000A1EZH43;XC000A1DKC51;NL0000303709;1000;;.001;NL;NL21;XAMS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2IR;FSTK;Air Liquide Dividend Futures;Single Stock Dividend Futures ;EUR;DE000A1EZH50;XC000A1DKC69;FR0000120073;1000;;.001;FR;FR21;XPAR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2LV;FSTK;Allianz Dividend Futures;Single Stock Dividend Futures ;EUR;DE000A1EZHD4;XC000A1CRK55;DE0008404005;1000;;.001;DE;DE21;XETR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2OM;FSTK;ALSTOM Dividend Futures;Single Stock Dividend Futures ;EUR;DE000A1EZH68;XC000A1DKC77;FR0010220475;1000;;.001;FR;FR21;XPAR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2SG;FSTK;Assicurazioni Generali Dividend Futures;Single Stock Dividend Futures ;EUR;DE000A1EZH92;XC000A1DKCW1;IT0000062072;1000;;.001;IT;IT21;XMIL;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2XA;FSTK;AXA Dividend Futures;Single Stock Dividend Futures ;EUR;DE000A1EZHE2;XC000A1CRK63;FR0000120628;1000;;.001;FR;FR21;XPAR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2ZN;FSTK;AstraZeneca Dividend Futures;Single Stock Dividend Futures ;USD;DE000A1KD0J8;XC000A1KD0X7;GB0009895292;1000;;.001;GB;GB22;XLON;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A4VF;FSTK;Bebidas das Américas;Single Stock Futures;USD;DE000A1DKFG5;US20441W2035;;100;36;.0001;BR;BR01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AALG;FSTK;Anglo American;Single Stock Futures;GBP;DE000A0QZCC3;GB00B1XZS820;;1000;36;.0001;GB;GB01;XLON;Basic Resources;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
AAPF;FSTK;Apple;Single Stock Futures;USD;DE000A0SYD35;US0378331005;;100;36;.0001;US;US02;XNAS;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
AB1F;FSTK;Air Berlin;Single Stock Futures;EUR;DE000A1KQQ03;GB00B128C026;;100;36;.0001;DE;DE01;XETR;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ABBF;FSTK;ABB;Single Stock Futures;CHF;DE000A0E4SB2;CH0012221716;;100;36;.0001;CH;CH01;XVTX;Industrial Goods & Services;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ABBN;OSTK;ABB;Equity Options;CHF;CH0012221716;CH0012221716;;100;60;.01;CH;CH11;XVTX;Industrial Goods & Services;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ABEI;FSTK;Abertis Infrastructuras [107,9347 ];Single Stock Futures;EUR;DE000A1DKQD9;ES0111845014;;107.9347;36;.0001;ES;ES01;XMAD;Industrial Goods & Services;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ABEJ;FSTK;Abertis Infrastructuras;Single Stock Futures;EUR;DE000A1KQUZ6;ES0111845014;;100;36;.0001;ES;ES01;XMAD;Industrial Goods & Services;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ABFF;FSTK;Associated British Foods;Single Stock Futures;GBP;DE000A0SYCN9;GB0006731235;;1000;36;.0001;GB;GB01;XLON;Food & Beverage;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
ABTF;FSTK;Abbott Laboratories;Single Stock Futures;USD;DE000A0SYDX6;US0028241000;;100;36;.0001;US;US01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
ACBF;FSTK;Alpha Bank;Single Stock Futures;EUR;DE000A0JY5V1;GRS015013006;;100;36;.0001;GR;GR01;XATH;Banks;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
